"","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","gender","age"
"1","2","2","1","1","2","1","1","2","2","1","m","20"
"2","2","2","2","2","1","2","1","1","2","2","m","30"
"3","1","2","1","1","2","2","1","2","2","1","f","20"
"4","2","2","2","2","2","1","2","2","1","1","f","50"
"5","2","2","1","2","1","1","1","2","1","1","f","20"
"6","2","1","1","1","2","2","1","2","2","1","f","20"
"7","2","2","1","1","1","2","1","1","2","1","m","30"
"8","1","2","2","1","1","2","2","2","1","1","m","30"
"9","2","1","1","2","2","1","1","1","1","1","m","20"
"10","2","2","1","2","2","1","2","2","2","1","m","50"
"11","2","1","2","2","2","1","1","2","1","1","m","50"
"12","1","1","2","2","2","1","1","1","2","2","m","50"
"13","2","1","2","2","2","1","2","2","2","2","m","50"
"14","2","2","2","1","1","2","1","2","1","2","m","50"
"15","2","2","2","1","1","2","2","1","2","1","f","20"
"16","1","2","2","1","2","2","1","1","2","2","f","20"
"17","2","2","2","1","1","2","1","1","2","1","m","50"
"18","2","2","1","2","1","1","2","2","2","1","f","20"
"19","2","1","2","1","2","2","1","1","2","2","f","50"
"20","2","2","1","1","1","2","2","1","1","2","m","20"
"21","2","2","1","1","2","2","2","1","2","2","f","50"
"22","2","1","2","2","2","1","1","1","1","1","m","50"
"23","2","1","2","2","2","1","2","2","2","1","m","20"
"24","1","2","1","2","1","1","1","1","1","2","m","50"
"25","2","2","1","2","2","1","1","2","2","2","f","20"
"26","2","2","1","2","2","2","1","2","2","2","m","50"
"27","2","2","1","2","1","2","2","2","1","1","m","20"
"28","2","1","1","1","1","1","1","2","2","1","f","50"
"29","2","1","2","1","2","1","1","1","2","1","m","50"
"30","2","1","2","2","2","1","1","2","2","1","f","20"
"31","2","1","2","1","1","1","2","1","2","1","m","50"
"32","2","2","1","2","2","1","1","2","2","1","f","40"
"33","1","1","1","2","1","2","1","2","1","1","m","50"
"34","2","2","1","2","2","2","2","2","1","1","m","20"
"35","1","2","1","1","1","1","1","1","2","1","m","50"
"36","2","2","1","1","1","2","1","1","2","1","f","50"
"37","2","2","2","2","2","2","2","2","1","1","m","50"
"38","1","2","1","1","1","1","1","1","2","2","m","50"
"39","1","1","2","1","1","2","2","1","1","1","f","50"
"40","1","2","2","2","1","2","2","2","1","2","f","50"
"41","2","2","1","1","2","1","1","2","2","2","f","20"
"42","2","2","1","2","1","2","1","2","2","1","f","20"
"43","2","1","1","2","1","1","2","2","1","2","f","50"
"44","2","1","2","2","2","1","1","2","2","1","m","50"
"45","1","1","2","1","2","2","2","2","1","1","m","50"
"46","2","2","1","2","1","1","1","2","1","2","m","50"
"47","2","1","1","1","2","1","1","1","2","1","f","50"
"48","2","1","1","2","1","1","2","2","2","1","f","50"
